hogar,codigo_sexo,sexo,edad,dia_laborable,trabajo_pago,trabajo_domestico_no_pago,voluntariados,estudio_educacion,recreacion,aplicaciones,tareas_cuidados,cuidado_personal,trabajo_pago2,trabajo_domestico_no_pago2,voluntariados2,estudio_educacion2,recreacion2,aplicaciones2,tareas_cuidados2,cuidado_personal2,dia_tipico,rango_etario,Codigo_nivel_educativo,nivel_educativo,relacion_parentesco_jefe,tipo_hogar,quintil_ingreso,estado_ocupacional,total_trabajopago,total_trabajonopago,intervalo_horasnopagas,intervalo_horaspagas,rango_etario_codigo,intervalo_horasnopagas_codigo,intervalo_horaspagas_codigo,dia_laborable_codigo
16_1,2,Varon,15,Día no laborable,0,1,0,0,7.5,5.3,0,13.2,0,1,0,0,6,5.3,0,11.7,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,2,1-4,0,1,2,1,2
17_1,2,Varon,15,Día no laborable,0.2,0.2,0,5.8,5.2,3.8,0,10.8,0.2,0.2,0,5.3,4.3,3.8,0,10.4,Día atípico,14-24,3,Secundario incompleto,Otro,Otro,5to quintil,Inactivo,0.4,0.4,0,0,1,1,1,2
18_1,1,Mujer,15,Día no laborable,0,0.3,0,6.2,1,5,0,12,0,0.3,0,6.2,0.8,5,0,11.8,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Inactivo,0,0.6,0,0,1,1,1,2
19_1,2,Varon,15,Día no laborable,0,0.2,0,6.8,5.3,2.1,0,11.8,0,0.2,0,6.8,4.3,2.1,0,10.8,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.4,0,0,1,1,1,2
20_1,1,Mujer,15,Día no laborable,0,0.5,0,6.5,1,1.3,0,16.3,0,0.3,0,6.3,0.5,1.3,0,15.8,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0.8,0,0,1,1,1,2
21_1,2,Varon,15,Día no laborable,0,0.8,0,13.3,3.9,0.5,0,7,0,0.6,0,13.1,3.2,0.5,0,6.7,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Inactivo,0,1.4,1-4,0,1,2,1,2
22_1,1,Mujer,15,Día no laborable,0,2.3,0,2,5,4.5,0,12.3,0,1.5,0,2,4,4.5,0,12,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,3.8,1-4,0,1,2,1,2
23_1,2,Varon,15,Día no laborable,0,0.1,0,0,7.7,4.8,0,13.4,0,0.1,0,0,5.7,4.8,0,13.4,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.2,0,0,1,1,1,2
24_1,1,Mujer,15,Día no laborable,0,0.7,0,10.6,1.1,3.2,0,9.3,0,0.7,0,10.6,0.7,3.2,0,8.9,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,1.4,1-4,0,1,2,1,2
25_1,2,Varon,15,Día laborable,8.3,0.7,0,0,7.8,0,0.3,11.1,8.3,0.7,0,0,5.8,0,0.3,9,Día atípico,14-24,3,Secundario incompleto,Otro,Otro,5to quintil,Ocupado,16.6,1.4,1-4,15-19,1,2,5,1
25_2,1,Mujer,28,Día laborable,6.6,3.8,0,0,1.3,1.8,3.2,8.7,6.6,3.5,0,0,0.6,1.8,3,8.5,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,13.2,7.3,5-9,10-14,2,3,4,1
26_1,2,Varon,15,Día no laborable,0,0,0,1,10.5,3.7,0,13.3,0,0,0,1,6.8,3.7,0,12.6,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
27_1,2,Varon,15,Día no laborable,0,0.7,0,8.5,1,4.1,0,10.8,0,0.7,0,8.5,0.5,4.1,0,10.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,1.4,1-4,0,1,2,1,2
28_1,1,Mujer,15,Día no laborable,0,0.2,0,9.3,3.7,1.5,0,11.5,0,0.2,0,9.3,2.6,1.5,0,10.4,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0.4,0,0,1,1,1,2
29_1,2,Varon,15,Día no laborable,0,0.5,0,0,8.5,0.7,0,18.6,0,0.3,0,0,5,0.7,0,18.1,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.8,0,0,1,1,1,2
30_1,2,Varon,16,Día no laborable,0,0.3,0,6,7.8,2,0,11.3,0,0.3,0,6,6.1,2,0,9.6,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.6,0,0,1,1,1,2
31_1,2,Varon,16,Día no laborable,0,0.2,0,1.3,9.7,1.5,0,13.4,0,0.2,0,1.3,8.7,1.5,0,12.4,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.4,0,0,1,1,1,2
32_1,1,Mujer,16,Día no laborable,0,1.5,0,4.8,5.5,2,2.5,11.8,0,1.5,0,4.8,3.8,2,1.3,10.6,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,3,1-4,0,1,2,1,2
33_1,2,Varon,16,Día no laborable,0,3.5,0,6.5,0,3.7,0,11.3,0,2.5,0,6.5,0,3.7,0,11.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,6,5-9,0,1,3,1,2
34_1,1,Mujer,16,Día no laborable,0,0.3,0,8.3,0,2.8,0,12.8,0,0.3,0,8.3,0,2.8,0,12.8,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0.6,0,0,1,1,1,2
35_1,2,Varon,16,Día no laborable,0,0,0,1.5,1.5,7.7,0,13.3,0,0,0,1.5,1.5,7.7,0,13.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
36_1,2,Varon,16,Día no laborable,2,1.9,0,1,5.3,2.8,0,10.9,2,1.9,0,1,5.3,2.8,0,10.9,Día atípico,14-24,3,Secundario incompleto,Otro,Otro,5to quintil,Inactivo,4,3.8,1-4,1-4,1,2,2,2
37_1,2,Varon,16,Día no laborable,0,0.4,0,5.5,4.4,5.8,0,8.3,0,0.4,0,5.5,4.2,5.8,0,8.1,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.8,0,0,1,1,1,2
38_1,2,Varon,16,Día no laborable,0,0,0,0,11.1,3.2,0,10.8,0,0,0,0,10.6,3.2,0,10.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
39_1,2,Varon,16,Día no laborable,0,0,0,2.8,11.5,0,0,9.7,0,0,0,2.8,11.5,0,0,9.7,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
40_1,2,Varon,16,Día no laborable,0,0.5,0,9.3,1,3.5,0,10.7,0,0.5,0,9.3,0.5,3.5,0,10.2,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,1,0,0,1,1,1,2
41_1,2,Varon,16,Día no laborable,0,0,0,7.8,1,2.8,0,12.5,0,0,0,7.8,1,2.8,0,12.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0,0,0,1,1,1,2
42_1,2,Varon,16,Día no laborable,0,2,0,3.9,6.1,1.9,0,10.9,0,2,0,3.9,5.7,1.9,0,10.5,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,4,1-4,0,1,2,1,2
43_1,1,Mujer,16,Día no laborable,0,0,0,14.4,1.4,0,0,9.6,0,0,0,14.4,0.7,0,0,8.9,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0,0,0,1,1,1,2
44_1,2,Varon,16,Día no laborable,0,0.8,0,5.6,2.7,2.7,0,13.7,0,0.6,0,5.6,2,2.7,0,13.1,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,1.4,1-4,0,1,2,1,2
45_1,1,Mujer,16,Día no laborable,0,1.2,0,8.5,0,1.8,1,11.5,0,1.2,0,8.5,0,1.8,1,11.5,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,2.4,1-4,0,1,2,1,2
46_1,2,Varon,16,Día no laborable,0,0.8,0,5.9,3.3,2.1,0,12.9,0,0.8,0,5.9,2.8,2.1,0,12.4,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,1.6,1-4,0,1,2,1,2
47_1,1,Mujer,16,Día no laborable,0,0.3,0,0,14.5,0,0,12.4,0,0.3,0,0,12.9,0,0,10.8,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.6,0,0,1,1,1,2
48_1,1,Mujer,16,Día no laborable,0,2.2,0,4,2.5,2,2,13.8,0,2.2,0,4,2.3,2,1,12.6,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,4.4,1-4,0,1,2,1,2
49_1,2,Varon,16,Día no laborable,0,1,0,1,6,3,0,13.5,0,1,0,1,5.8,3,0,13.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Inactivo,0,2,1-4,0,1,2,1,2
50_1,2,Varon,16,Día no laborable,0,0.5,0,7.2,1.5,4.3,0,11.5,0,0.5,0,7.2,1,4.3,0,11,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,1,0,0,1,1,1,2
51_1,1,Mujer,16,Día no laborable,0,0,0,11.2,0,0.5,0,12.3,0,0,0,11.2,0,0.5,0,12.3,Día atípico,14-24,3,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
52_1,1,Mujer,16,Día no laborable,0,4.7,0,0,6.2,1.8,6.5,14.8,0,2.1,0,0,3.4,1.8,3.2,13.4,Día atípico,14-24,3,Secundario incompleto,Otro,Otro,5to quintil,Inactivo,0,6.8,5-9,0,1,3,1,2
